Mã sản phẩm,Tên sản phẩm,Giá,Giá gốc,Danh mục,Tồn kho,Mô tả,Hình ảnh
SP001,Áo thun nam cotton form regular,199000,350000,Thời trang > Áo thun,200,"Áo thun nam cotton 100% – Chất liệu cao cấp, mềm mại, thấm hút mồ hôi tốt. Form regular thoải mái, phù hợp mặc hàng ngày.","https://shopee.vn/ao-thun-nam-cotton-regular.jpg"
SP002,Áo sơ mi nữ công sở tay dài,299000,450000,Thời trang > Áo sơ mi,150,"Áo sơ mi nữ công sở chất liệu linen cao cấp. Thiết kế thanh lịch, phù hợp môi trường văn phòng. Có 5 màu: trắng, xanh, hồng, be, kem.","https://shopee.vn/so-mi-nu-cong-so-linen.jpg"
SP003,Quần jean skinny nữ,350000,520000,Thời trang > Quần jean,100,"Quần jean nữ skinny fit co giãn 4 chiều. Đai quần cạp cao tôn dáng. Chất liệu denim Nhật Bản bền đẹp.","https://shopee.vn/quan-jean-skinny-nu.jpg"
SP004,Váy đầm dự tiệc nữ,599000,850000,Thời trang > Váy đầm,80,"Đầm dự tiệc nữ kiểu dáng chữ A thanh lịch. Chất liệu lụa cao cấp, hoa văn tinh tế. Phù hợp tiệc cưới, sự kiện.","https://shopee.vn/vay-dam-du-tiec-nu.jpg"
SP005,Túi xách nữ thời trang cao cấp,450000,680000,Phụ kiện > Túi xách,120,"Túi xách nữ thiết kế sang trọng, chất liệu da PU cao cấp. Kích thước 28x20x12cm. Có ngăn chính, ngăn phụ và khóa kéo an toàn.","https://shopee.vn/tui-xach-nu-da-pu.jpg"
SP006,Giày thể thao nam nữ unisex,550000,780000,Giày dép > Giày thể thao,90,"Giày sneaker unisex phong cách Hàn Quốc. Đế cao su chống trượt, lót giày êm ái. Phù hợp chạy bộ, đi chơi, mặc hàng ngày.","https://shopee.vn/giay-the-thao-unisex.jpg"
SP007,Máy lọc không khí thông minh,2890000,3500000,Điện máy > Máy lọc không khí,35,"Máy lọc không khí diện tích 30-50m². Công nghệ HEPA H13 + than hoạt tính. Điều khiển qua app. Độ ồn ≤ 30dB.","https://shopee.vn/may-loc-khong-khi-thong-minh.jpg"
SP008,Set chăm sóc da 3 bước,450000,650000,Làm đẹp > Da mặt,200,"Set dưỡng da gồm: sữa rửa mặt 100ml + toner 150ml + kem dưỡng ẩm 50g. Chiết xuất từ trà xanh Nhật Bản, phù hợp da dầu mụn.","https://shopee.vn/set-cham-soc-da-3-buoc.jpg"
SP009,Bộ chăn ga gối đệm cao cấp,899000,1250000,Nội thất > Chăn ga gối,60,"Bộ chăn ga gối 4 món chất liệu cotton Egypt 300TC. Gồm: 1 ga phủ 180x200cm + 1 vỏ chăn 200x220cm + 2 vỏ gối 45x65cm.","https://shopee.vn/bo-chan-ga-goi-cao-cap.jpg"
SP010,Nồi chiên không dầu đa năng,1299000,1780000,Điện máy > Nồi chiên,75,"Nồi chiên không dầu dung tích 5.5L. Công suất 1500W. 8 chế độ nấu tự động. Rổ chống dính. Có chế độ hẹn giờ 24h.","https://shopee.vn/noi-chien-khong-dau-5-5l.jpg"
SP011,Tai nghe Bluetooth chống ồn,899000,1200000,Phụ kiện > Tai nghe,150,"Tai nghe Bluetooth 5.3 chống ồn chủ động ANC 35dB. Thời lượng pin 40h. Kết nối nhanh, tương thích iOS/Android.","https://shopee.vn/tai-nghe-bluetooth-anc.jpg"
SP012,Đồng hồ thông minh thể thao,1590000,2200000,Phụ kiện > Đồng hồ thông minh,100,"Smartwatch đo nhịp tim, SpO2, giấc ngủ. Màn hình AMOLED 1.43 inch. Chống nước IP68. Pin 14 ngày. Hỗ trợ 100+ bài tập.","https://shopee.vn/dong-ho-thong-minh-the-thao.jpg"
